Tipo de dato:,Media diaria,,,,
Estación:,Cotos [001004],,,,
Unidades:,hPa,,,,
Variables:,PSURF,,,,
Fecha,Media,Máxima,Mínima,Validación,Muestras Validadas
2000-01-01,825.39,826.19,824.59,V,1
2000-01-02,825.04,825.79,824.29,V,1
2000-01-03,825.24,826.19,824.29,V,1
2000-01-04,825.59,826.59,824.59,V,1
2000-01-05,822.24,825.09,819.39,V,1
2000-01-06,822.09,824.79,819.39,V,1
2000-01-07,824.39,824.99,823.79,V,1
2000-01-08,823.24,823.79,822.69,V,1
2000-01-09,822.24,822.99,821.49,V,1
2000-01-10,823.84,824.99,822.69,V,1
2000-01-11,826.09,827.39,824.79,V,1
2000-01-12,824.99,827.39,822.59,V,1
2000-01-13,816.49,822.59,810.39,V,1
2000-01-14,807.69,810.39,804.99,V,1
2000-01-15,813.19,818.19,808.19,V,1
2000-01-16,820.59,822.99,818.19,V,1
2000-01-17,824.59,826.19,822.99,V,1
2000-01-18,823.19,824.99,821.39,V,1
2000-01-19,820.89,822.19,819.59,V,1
2000-01-20,823.59,825.39,821.79,V,1
2000-01-21,823.99,825.39,822.59,V,1
2000-01-22,820.49,822.59,818.39,V,1
2000-01-23,817.79,818.39,817.19,V,1
2000-01-24,815.19,817.19,813.19,V,1
2000-01-25,812.79,813.19,812.39,V,1
2000-01-26,817.49,821.79,813.19,V,1
2000-01-27,823.09,824.39,821.79,V,1
2000-01-28,823.89,824.59,823.19,V,1
2000-01-29,827.09,830.19,823.99,V,1
2000-01-30,831.49,832.99,829.99,V,1
2000-01-31,830.29,832.19,828.39,V,1
2000-02-01,826.99,828.59,825.39,V,1
2000-02-02,828.79,830.59,826.99,V,1
2000-02-03,831.89,833.19,830.59,V,1
2000-02-04,833.14,833.89,832.39,V,1
2000-02-05,831.59,832.99,830.19,V,1
2000-02-06,829.69,830.39,828.99,V,1
2000-02-07,830.49,831.59,829.39,V,1
2000-02-08,830.89,831.59,830.19,V,1
2000-02-09,830.69,831.59,829.79,V,1
2000-02-10,828.34,829.89,826.79,V,1
2000-02-11,825.59,826.79,824.39,V,1
2000-02-12,827.19,829.39,824.99,V,1
2000-02-13,828.99,829.79,828.19,V,1
2000-02-14,828.19,828.59,827.79,V,1
2000-02-15,827.44,828.69,826.19,V,1
2000-02-16,823.99,826.19,821.79,V,1
2000-02-17,824.69,826.19,823.19,V,1
2000-02-18,826.44,827.09,825.79,V,1
2000-02-19,824.79,825.79,823.79,V,1
2000-02-20,823.99,824.59,823.39,V,1
2000-02-21,824.29,824.99,823.59,V,1
2000-02-22,823.49,824.59,822.39,V,1
2000-02-23,826.09,828.59,823.59,V,1
2000-02-24,828.89,829.79,827.99,V,1
2000-02-25,829.39,830.19,828.59,V,1
2000-02-26,828.19,828.99,827.39,V,1
2000-02-27,827.34,827.99,826.69,V,1
2000-02-28,825.89,826.79,824.99,V,1
2000-02-29,825.34,826.39,824.29,V,1
2000-03-01,823.44,824.99,821.89,V,1
2000-03-02,826.19,827.39,824.99,V,1
2000-03-03,825.54,826.79,824.29,V,1
2000-03-04,824.89,825.99,823.79,V,1
2000-03-05,826.69,827.79,825.59,V,1
2000-03-06,827.69,828.19,827.19,V,1
2000-03-07,828.69,829.59,827.79,V,1
2000-03-08,830.69,831.79,829.59,V,1
2000-03-09,831.49,832.29,830.69,V,1
2000-03-10,828.79,830.79,826.79,V,1
2000-03-11,824.09,826.79,821.39,V,1
2000-03-12,820.49,821.39,819.59,V,1
2000-03-13,822.49,824.19,820.79,V,1
2000-03-14,825.99,827.79,824.19,V,1
2000-03-15,826.79,827.99,825.59,V,1
2000-03-16,825.19,825.59,824.79,V,1
2000-03-17,824.49,825.19,823.79,V,1
2000-03-18,822.84,823.79,821.89,V,1
2000-03-19,819.54,822.79,816.29,V,1
2000-03-20,815.34,816.29,814.39,V,1
2000-03-21,814.09,814.79,813.39,V,1
2000-03-22,813.19,814.79,811.59,V,1
2000-03-23,812.79,815.19,810.39,V,1
2000-03-24,816.49,817.99,814.99,V,1
2000-03-25,818.29,819.59,816.99,V,1
2000-03-26,819.39,820.79,817.99,V,1
2000-03-27,815.49,819.99,810.99,V,1
2000-03-28,809.69,810.99,808.39,V,1
2000-03-29,811.14,812.79,809.49,V,1
2000-03-30,811.94,812.39,811.49,V,1
2000-03-31,811.49,812.99,809.99,V,1
