dates,Minimum,Mean,Maximum,Validation
2008-09-18 20:00:00,11.36,11.7975,12.3,
2008-09-18 21:00:00,10.57,11.0783,11.36,
2008-09-18 22:00:00,10.38,10.79,11.62,
2008-09-18 23:00:00,11.44,11.6833,11.94,
2008-09-19 00:00:00,10.46,11.0067,11.39,C
2008-09-19 01:00:00,9.91,10.2533,10.65,
2008-09-19 02:00:00,9.04,9.5267,10.09,C
2008-09-19 03:00:00,8.48,8.8967,9.16,
2008-09-19 04:00:00,8.26,8.4933,8.83,C
2008-09-19 05:00:00,7.63,8.185,8.38,
2008-09-19 06:00:00,7.12,7.6367,8.36,C
2008-09-19 07:00:00,8.87,10.875,12.94,
2008-09-19 08:00:00,13.56,13.975,14.29,C
2008-09-19 09:00:00,14.55,14.9633,15.39,
2008-09-19 10:00:00,14.98,15.5217,16.04,C
2008-09-19 11:00:00,15.24,15.645,16.14,
2008-09-19 12:00:00,15.67,15.93,16.24,C
2008-09-19 13:00:00,16.72,16.9967,17.17,
2008-09-19 14:00:00,16.48,16.6833,17.15,C
2008-09-19 15:00:00,16.21,16.3817,16.56,
2008-09-19 16:00:00,15.25,15.7333,16.17,C
2008-09-19 17:00:00,13.56,14.65,15.63,
2008-09-19 18:00:00,12.49,12.955,13.37,C
2008-09-19 19:00:00,11.61,11.8517,12.13,
2008-09-19 20:00:00,11.15,11.3767,11.58,C
2008-09-19 21:00:00,10.78,11.1067,11.45,
2008-09-19 22:00:00,10.82,10.94,11.12,C
2008-09-19 23:00:00,10.48,10.7417,11.02,
2008-09-20 00:00:00,10.3,10.5167,10.71,C
2008-09-20 01:00:00,9.74,10.085,10.47,
2008-09-20 02:00:00,9.67,9.88,10.03,C
2008-09-20 03:00:00,9.68,9.9633,10.29,
2008-09-20 04:00:00,9.4,10.2383,10.54,C
2008-09-20 05:00:00,9.79,10.0383,10.36,
2008-09-20 06:00:00,9.85,10.3333,11.3,C
2008-09-20 07:00:00,11.79,13.7317,15.67,
2008-09-20 08:00:00,16.08,16.1967,16.48,C
2008-09-20 09:00:00,16.64,16.7233,16.79,
2008-09-20 10:00:00,16.31,17.2567,17.93,C
2008-09-20 11:00:00,18.0,18.12,18.35,
2008-09-20 12:00:00,17.95,18.3733,18.73,C
2008-09-20 13:00:00,18.78,19.0433,19.36,
2008-09-20 14:00:00,19.01,19.2417,19.39,C
2008-09-20 15:00:00,18.7,19.2383,19.85,
2008-09-20 16:00:00,17.74,18.4,19.02,C
2008-09-20 17:00:00,15.63,17.255,18.06,
2008-09-20 18:00:00,14.7,15.0633,15.32,C
2008-09-20 19:00:00,14.52,14.8267,15.03,
2008-09-20 20:00:00,14.46,14.935,15.22,C
2008-09-20 21:00:00,14.22,14.385,14.5,
2008-09-20 22:00:00,13.25,14.0833,14.64,C
2008-09-20 23:00:00,12.51,12.8817,13.39,
2008-09-21 00:00:00,12.94,13.145,13.3,C
2008-09-21 01:00:00,12.36,12.9233,13.45,
2008-09-21 02:00:00,13.4,13.815,14.11,C
2008-09-21 03:00:00,13.95,14.13,14.29,
2008-09-21 04:00:00,13.98,14.2967,14.58,C
2008-09-21 05:00:00,13.98,14.2933,14.66,
2008-09-21 06:00:00,13.6,14.2683,14.74,C
2008-09-21 07:00:00,14.34,14.9783,15.36,
2008-09-21 08:00:00,10.63,12.14,14.34,C
2008-09-21 09:00:00,10.65,11.6433,12.58,
2008-09-21 10:00:00,12.3,12.6633,12.99,C
2008-09-21 11:00:00,13.73,14.99,15.44,
2008-09-21 12:00:00,15.71,16.8083,17.76,C
2008-09-21 13:00:00,16.9,17.5283,18.18,
2008-09-21 14:00:00,16.47,17.0417,17.58,
2008-09-21 15:00:00,16.9,17.6767,18.15,
2008-09-21 16:00:00,16.03,16.2833,16.51,C
2008-09-21 17:00:00,13.66,14.9083,15.69,
2008-09-21 18:00:00,12.64,13.0717,13.52,C
2008-09-21 19:00:00,12.76,13.1117,13.31,
2008-09-21 20:00:00,12.68,12.9717,13.23,C
2008-09-21 21:00:00,12.58,13.185,13.72,
2008-09-21 22:00:00,12.89,13.2967,13.68,C
2008-09-21 23:00:00,12.49,12.8333,13.03,
2008-09-22 00:00:00,13.06,13.1883,13.27,C
2008-09-22 01:00:00,11.95,12.495,13.49,
2008-09-22 02:00:00,9.72,11.1267,12.21,C
2008-09-22 03:00:00,9.67,9.8567,10.18,
2008-09-22 04:00:00,9.99,10.3817,10.68,C
2008-09-22 05:00:00,9.76,9.8733,10.03,
2008-09-22 06:00:00,9.35,9.4833,9.7,C
2008-09-22 07:00:00,9.36,9.715,10.15,
2008-09-22 08:00:00,10.1,10.3083,10.52,C
2008-09-22 09:00:00,10.25,10.4267,10.59,
2008-09-22 10:00:00,10.37,10.6017,10.85,C
2008-09-22 11:00:00,10.38,10.8783,11.42,
2008-09-22 12:00:00,11.73,12.0933,12.56,C
2008-09-22 13:00:00,12.3,12.715,13.64,
2008-09-22 14:00:00,12.63,13.4533,14.15,C
2008-09-22 15:00:00,13.05,13.425,13.81,
2008-09-22 16:00:00,12.14,12.4717,12.95,C
2008-09-22 17:00:00,11.71,11.9267,12.11,
2008-09-22 18:00:00,9.51,10.365,11.35,C
2008-09-22 19:00:00,9.62,9.9383,10.24,
2008-09-22 20:00:00,8.85,9.0433,9.29,C
2008-09-22 21:00:00,8.23,8.49,8.69,
2008-09-22 22:00:00,8.36,8.8867,9.53,C
2008-09-22 23:00:00,9.07,9.29,9.5,
2008-09-23 00:00:00,8.36,8.71,8.87,C
2008-09-23 01:00:00,8.3,8.71,9.06,
2008-09-23 02:00:00,8.83,8.8917,8.97,C
2008-09-23 03:00:00,8.83,8.875,8.9,
2008-09-23 04:00:00,8.72,8.835,8.92,C
2008-09-23 05:00:00,8.53,8.6083,8.7,
2008-09-23 06:00:00,8.21,8.4033,8.64,C
2008-09-23 07:00:00,8.52,8.6283,8.71,
2008-09-23 08:00:00,8.52,8.5833,8.66,C
2008-09-23 09:00:00,8.45,8.725,9.12,
2008-09-23 10:00:00,8.95,9.5733,10.43,C
2008-09-23 11:00:00,10.21,10.815,11.55,
2008-09-23 12:00:00,11.9,12.01,12.19,C
2008-09-23 13:00:00,10.97,11.305,11.58,
2008-09-23 14:00:00,12.29,12.5833,12.87,C
2008-09-23 15:00:00,12.86,13.1283,13.46,
2008-09-23 16:00:00,12.01,12.5467,13.01,C
2008-09-23 17:00:00,10.23,11.0283,12.23,
2008-09-23 18:00:00,7.91,8.8017,9.99,C
2008-09-23 19:00:00,6.98,7.2033,7.63,
2008-09-23 20:00:00,6.18,6.5983,6.84,C
2008-09-23 21:00:00,6.03,6.1733,6.36,
2008-09-23 22:00:00,5.82,5.9233,6.05,C
2008-09-23 23:00:00,5.68,5.9033,6.16,
2008-09-24 00:00:00,6.28,6.7567,7.1,C
2008-09-24 01:00:00,5.62,6.6517,7.16,
2008-09-24 02:00:00,4.84,5.7667,6.59,C
2008-09-24 03:00:00,5.38,5.735,6.22,
2008-09-24 04:00:00,6.79,6.9983,7.21,C
2008-09-24 05:00:00,6.2,6.5283,6.73,
2008-09-24 06:00:00,5.88,6.235,6.78,C
2008-09-24 07:00:00,6.31,6.9333,7.25,
2008-09-24 08:00:00,7.21,7.77,8.29,C
2008-09-24 09:00:00,8.39,9.325,10.34,
2008-09-24 10:00:00,9.95,10.1267,10.27,C
2008-09-24 11:00:00,10.51,11.1783,11.64,
2008-09-24 12:00:00,11.16,11.4217,11.8,C
2008-09-24 13:00:00,11.34,11.7583,12.21,
2008-09-24 14:00:00,11.82,11.9817,12.37,C
2008-09-24 15:00:00,11.52,11.89,12.15,
2008-09-24 16:00:00,11.31,11.5867,11.79,C
2008-09-24 17:00:00,8.66,9.76,11.05,
2008-09-24 18:00:00,7.51,7.9033,8.28,C
2008-09-24 19:00:00,6.33,7.1367,7.78,
2008-09-24 20:00:00,4.86,5.5067,6.08,C
2008-09-24 21:00:00,5.02,5.3817,5.85,
2008-09-24 22:00:00,5.61,5.9033,6.04,C
2008-09-24 23:00:00,4.79,5.5217,6.41,
2008-09-25 00:00:00,4.92,5.725,6.32,C
2008-09-25 01:00:00,4.5,4.6517,4.82,
2008-09-25 02:00:00,4.44,5.1633,5.86,C
2008-09-25 03:00:00,4.52,4.9717,5.33,
2008-09-25 04:00:00,3.7,4.3633,5.15,C
2008-09-25 05:00:00,3.22,3.3533,3.48,
2008-09-25 06:00:00,3.29,3.4333,3.57,C
2008-09-25 07:00:00,3.71,5.44,7.11,
2008-09-25 08:00:00,7.5,7.955,8.8,C
2008-09-25 09:00:00,9.07,9.5067,10.06,
2008-09-25 10:00:00,10.22,10.6733,11.26,C
2008-09-25 11:00:00,10.0,10.13,10.28,
2008-09-25 12:00:00,10.4,10.7733,11.04,C
2008-09-25 13:00:00,11.12,11.5283,12.29,
2008-09-25 14:00:00,10.9,11.7517,13.05,C
2008-09-25 15:00:00,11.0,11.8833,12.79,
2008-09-25 16:00:00,11.31,11.71,12.2,C
2008-09-25 17:00:00,10.03,10.5583,11.23,
2008-09-25 18:00:00,7.61,8.755,9.75,C
2008-09-25 19:00:00,7.26,7.4833,7.69,
2008-09-25 20:00:00,7.26,7.4033,7.63,C
2008-09-25 21:00:00,6.4,6.9,7.41,
2008-09-25 22:00:00,6.05,6.2383,6.47,C
2008-09-25 23:00:00,5.36,5.755,6.02,
2008-09-26 00:00:00,4.62,4.9717,5.27,C
2008-09-26 01:00:00,4.1,4.7033,4.93,
2008-09-26 02:00:00,3.98,4.0917,4.26,C
2008-09-26 03:00:00,4.08,4.8133,5.78,
2008-09-26 04:00:00,5.12,5.3767,5.69,C
2008-09-26 05:00:00,5.53,5.6833,5.84,
2008-09-26 06:00:00,5.4,5.6133,5.9,C
2008-09-26 07:00:00,6.46,7.9,9.22,
2008-09-26 08:00:00,8.75,9.0833,9.37,C
2008-09-26 09:00:00,8.47,8.9983,9.72,
2008-09-26 10:00:00,8.9,9.225,9.67,C
2008-09-26 11:00:00,10.31,11.1417,11.68,
2008-09-26 12:00:00,10.07,10.4433,10.78,C
2008-09-26 13:00:00,10.18,10.6267,10.84,
2008-09-26 14:00:00,10.62,10.93,11.18,C
2008-09-26 15:00:00,10.81,11.01,11.53,
2008-09-26 16:00:00,9.69,10.1817,10.78,C
2008-09-26 17:00:00,9.07,9.345,9.57,
2008-09-26 18:00:00,8.65,8.7917,8.93,C
2008-09-26 19:00:00,7.71,8.095,8.64,
2008-09-26 20:00:00,6.22,6.8833,7.93,C
2008-09-26 21:00:00,6.38,6.6233,6.98,
2008-09-26 22:00:00,6.05,6.3583,6.66,C
2008-09-26 23:00:00,5.62,5.945,6.06,
2008-09-27 00:00:00,4.73,5.1383,5.46,C
2008-09-27 01:00:00,4.61,4.7333,4.9,
2008-09-27 02:00:00,4.71,4.8517,5.08,C
2008-09-27 03:00:00,4.28,4.385,4.55,
2008-09-27 04:00:00,3.77,3.9733,4.33,C
2008-09-27 05:00:00,3.96,4.1383,4.37,
2008-09-27 06:00:00,4.11,4.7583,5.15,C
2008-09-27 07:00:00,5.06,5.7117,6.35,
2008-09-27 08:00:00,7.15,8.1233,8.61,C
2008-09-27 09:00:00,8.22,8.5467,8.7,
2008-09-27 10:00:00,8.91,9.19,9.5,C
2008-09-27 11:00:00,9.44,9.995,10.7,
2008-09-27 12:00:00,9.69,10.0833,10.67,C
2008-09-27 13:00:00,10.54,11.915,12.74,
2008-09-27 14:00:00,12.01,12.3733,13.02,C
2008-09-27 15:00:00,11.42,11.9117,12.45,
2008-09-27 16:00:00,11.59,11.8567,12.17,C
2008-09-27 17:00:00,9.15,10.005,10.86,
2008-09-27 18:00:00,7.76,8.2133,8.94,C
2008-09-27 19:00:00,7.37,7.7717,8.01,
