Date,Minimum,Mean,Maximum,Validation,Validated Samples
2008-01-01 00:00,1.2,1.77,2.2,,6
2008-01-01 01:00,1.2,1.58,1.9,,6
2008-01-01 02:00,0.7,1.08,1.8,,6
2008-01-01 03:00,1.5,2.02,2.7,,6
2008-01-01 04:00,1.6,2.07,3,,6
2008-01-01 05:00,1.2,1.73,2.1,,6
2008-01-01 06:00,1.2,1.43,1.7,,6
2008-01-01 07:00,1.2,1.52,2,,6
2008-01-01 08:00,0.4,0.87,1.4,,6
2008-01-01 09:00,0.6,1.37,2.1,,6
2008-01-01 10:00,1.5,1.85,2.1,,6
2008-01-01 11:00,1.7,2.32,3.1,,6
2008-01-01 12:00,1.8,2.32,3,,6
2008-01-01 13:00,1.6,2.9,3.3,,6
2008-01-01 14:00,0.7,2.47,3.6,,6
2008-01-01 15:00,0.6,1.32,1.9,,6
2008-01-01 16:00,0.4,0.57,0.7,,6
2008-01-01 17:00,0.5,0.88,1.6,,6
2008-01-01 18:00,0.6,0.82,1.2,,6
2008-01-01 19:00,0.4,0.65,0.9,,6
2008-01-01 20:00,0.4,0.58,0.9,,6
2008-01-01 21:00,1,1.32,1.6,,6
2008-01-01 22:00,0.5,0.9,1.3,,6
2008-01-01 23:00,0.8,0.95,1.3,,6
2008-01-02 00:00,1.3,1.63,2,,6
2008-01-02 01:00,0.9,1.63,1.9,,6
2008-01-02 02:00,1.6,1.98,2.8,,6
2008-01-02 03:00,1.5,2.72,3.4,,6
2008-01-02 04:00,3.3,3.88,5,,6
2008-01-02 05:00,2.4,3.47,4.2,,6
2008-01-02 06:00,2.9,3.77,4.9,,6
2008-01-02 07:00,3.2,3.6,4.5,,6
2008-01-02 08:00,2.5,3.35,4.4,,6
2008-01-02 09:00,2.4,3.02,3.9,,6
2008-01-02 10:00,2.1,2.67,3.4,,6
2008-01-02 11:00,1.8,2.18,2.8,,6
2008-01-02 12:00,1.7,1.88,2.2,,6
2008-01-02 13:00,1.6,2.05,2.7,,6
2008-01-02 14:00,2.2,2.55,3,,6
2008-01-02 15:00,2.4,2.83,3.3,,6
2008-01-02 16:00,2.2,2.45,3.1,,6
2008-01-02 17:00,2.2,2.83,3.4,,6
2008-01-02 18:00,2,2.37,2.7,,6
2008-01-02 19:00,1.5,2.27,2.7,,6
2008-01-02 20:00,1.6,1.9,2.3,,6
2008-01-02 21:00,1.7,2.08,2.4,,6
2008-01-02 22:00,1.6,2.47,3.3,,6
2008-01-02 23:00,3.1,3.4,3.7,,6
2008-01-03 00:00,2.6,3.3,4,,6
2008-01-03 01:00,2.7,3.42,4.1,,6
2008-01-03 02:00,2.8,3.32,4.3,,6
2008-01-03 03:00,4.7,5.5,6.5,,6
2008-01-03 04:00,4.4,4.9,5.6,,6
2008-01-03 05:00,3.1,3.9,4.6,,6
2008-01-03 06:00,3.4,4.17,4.6,,6
2008-01-03 07:00,2.6,3.03,4.1,,6
2008-01-03 08:00,2.6,3.02,3.4,,6
2008-01-03 09:00,1.4,2.12,2.6,,6
2008-01-03 10:00,1.8,2.68,3.3,,6
2008-01-03 11:00,2.8,3.22,3.7,,6
2008-01-03 12:00,3.2,3.85,4.4,,6
2008-01-03 13:00,3.5,3.77,4.2,,6
2008-01-03 14:00,3,3.53,3.8,,6
2008-01-03 15:00,2.7,3.05,3.4,,6
2008-01-03 16:00,2.2,2.82,3.3,,6
2008-01-03 17:00,2,2.67,3.3,,6
2008-01-03 18:00,2.2,2.63,3,,6
2008-01-03 19:00,1.7,2.2,2.8,,6
2008-01-03 20:00,1.2,1.92,2.4,,6
2008-01-03 21:00,1.6,2.03,2.3,,6
2008-01-03 22:00,1,1.5,1.9,,6
2008-01-03 23:00,1.6,1.7,1.8,,6
2008-01-04 00:00,1.4,1.67,1.9,,6
2008-01-04 01:00,0.9,1.5,1.9,,6
2008-01-04 02:00,0.6,1.2,2.1,,6
2008-01-04 03:00,0.6,0.63,0.7,,6
2008-01-04 04:00,0.4,0.7,0.9,,6
2008-01-04 05:00,0.7,1.23,1.6,,6
2008-01-04 06:00,0.4,0.97,1.9,,6
2008-01-04 07:00,0.8,1.42,2,,6
2008-01-04 08:00,0.5,0.98,1.8,,6
2008-01-04 09:00,0.4,0.73,1.1,,6
2008-01-04 10:00,0.4,0.4,0.4,,6
2008-01-04 11:00,0.4,0.43,0.6,,6
2008-01-04 12:00,0.4,1.15,1.9,,6
2008-01-04 13:00,1,2,3,,6
2008-01-04 14:00,2.3,2.58,2.9,,6
2008-01-04 15:00,1.4,2.02,2.8,,6
2008-01-04 16:00,1.1,1.9,2.3,,6
2008-01-04 17:00,1.7,2.22,3,,6
2008-01-04 18:00,0.9,2.03,3.4,,6
2008-01-04 19:00,0.6,1.53,2.7,,6
2008-01-04 20:00,0.7,1.55,2.3,,6
2008-01-04 21:00,1.9,2.2,2.5,,6
2008-01-04 22:00,0.8,1.57,2.4,,6
2008-01-04 23:00,2.4,2.6,2.9,,6
2008-01-05 00:00,1.7,2.27,3.3,,6
2008-01-05 01:00,3.2,3.28,3.5,,6
2008-01-05 02:00,2.1,2.53,3.1,,6
2008-01-05 03:00,2,2.42,3,,6
2008-01-05 04:00,1.7,2.08,2.7,,6
2008-01-05 05:00,2,2.32,2.7,,6
2008-01-05 06:00,1.4,1.9,2.1,,6
2008-01-05 07:00,0.9,1.37,1.9,,6
2008-01-05 08:00,0.5,0.93,1.5,,6
2008-01-05 09:00,0.4,0.53,1,,6
2008-01-05 10:00,0.4,0.92,1.7,,6
2008-01-05 11:00,1.4,1.85,2.1,,6
2008-01-05 12:00,1.7,2.25,2.6,,6
2008-01-05 13:00,2.6,3.12,3.5,,6
2008-01-05 14:00,2.2,2.68,2.9,,6
2008-01-05 15:00,2.2,2.52,2.9,,6
2008-01-05 16:00,2.1,2.85,3.2,,6
2008-01-05 17:00,2.9,3.38,4,,6
2008-01-05 18:00,3.1,3.6,4.5,,6
2008-01-05 19:00,2.6,3.33,3.6,,6
2008-01-05 20:00,2.9,3.32,3.9,,6
2008-01-05 21:00,2.6,2.72,2.9,,6
2008-01-05 22:00,2.2,2.72,3.1,,6
2008-01-05 23:00,2.1,2.98,3.4,,6
2008-01-06 00:00,2.5,2.62,2.8,,6
2008-01-06 01:00,2.2,3.17,3.9,,6
2008-01-06 02:00,3.1,3.4,3.8,,6
2008-01-06 03:00,2.9,3.43,4.3,,6
2008-01-06 04:00,2.7,3.02,3.2,,6
2008-01-06 05:00,1.9,2.4,2.7,,6
2008-01-06 06:00,1.6,1.85,2.3,,6
2008-01-06 07:00,1.3,1.6,1.9,,6
2008-01-06 08:00,1.1,1.47,2,,6
2008-01-06 09:00,0.8,1.27,1.7,,6
2008-01-06 10:00,1.1,1.62,2,,6
2008-01-06 11:00,1.5,1.82,2.2,,6
2008-01-06 12:00,1.1,1.43,1.8,,6
2008-01-06 13:00,1.5,1.78,1.9,,6
2008-01-06 14:00,1.9,2.32,2.5,,6
2008-01-06 15:00,0.8,1.67,2.5,,6
2008-01-06 16:00,0.6,1.25,2.2,,6
2008-01-06 17:00,1.7,2.15,2.6,,6
2008-01-06 18:00,1.8,2.18,2.5,,6
2008-01-06 19:00,2.3,2.52,2.7,,6
2008-01-06 20:00,2.1,2.22,2.4,,6
2008-01-06 21:00,1.7,1.92,2.1,,6
2008-01-06 22:00,1.6,1.82,2.1,,6
2008-01-06 23:00,1.4,1.52,2,,6
2008-01-07 00:00,1.6,1.87,2.2,,6
2008-01-07 01:00,1.6,1.95,2.3,,6
2008-01-07 02:00,0.4,0.65,1,,6
2008-01-07 03:00,0.9,1.12,1.3,,6
2008-01-07 04:00,0.7,1.05,1.4,,6
2008-01-07 05:00,0.6,0.98,1.5,,6
2008-01-07 06:00,0.5,1.4,2.1,,6
2008-01-07 07:00,1.6,1.87,2.3,,6
2008-01-07 08:00,1.5,1.73,2.1,,6
2008-01-07 09:00,1.5,1.58,1.9,,6
2008-01-07 10:00,1,1.57,2.4,,6
2008-01-07 11:00,0.4,0.98,2.1,,6
2008-01-07 12:00,0.4,1.38,2.3,,6
2008-01-07 13:00,1.2,1.37,1.7,,6
2008-01-07 14:00,1.3,1.6,1.8,,6
2008-01-07 15:00,0.4,0.87,1.4,,6
2008-01-07 16:00,0.4,0.73,1.2,,6
2008-01-07 17:00,0.4,0.82,1.4,,6
2008-01-07 18:00,0.6,0.88,1.1,,6
2008-01-07 19:00,0.5,1.03,1.6,,6
2008-01-07 20:00,0.5,1.45,2.1,,6
2008-01-07 21:00,0.4,0.72,1.2,,6
2008-01-07 22:00,0.4,0.87,1.1,,6
2008-01-07 23:00,0.7,1.02,1.3,,6
2008-01-08 00:00,1,1.27,1.5,,6
2008-01-08 01:00,0.8,1.02,1.2,,6
2008-01-08 02:00,0.8,1.27,1.6,,6
2008-01-08 03:00,0.4,0.63,1,,6
2008-01-08 04:00,0.4,0.42,0.5,,6
2008-01-08 05:00,0.4,0.87,1.7,,6
2008-01-08 06:00,0.6,0.77,0.9,,6
2008-01-08 07:00,0.5,0.62,0.8,,6
2008-01-08 08:00,0.4,0.63,0.9,,6
2008-01-08 09:00,0.4,0.45,0.6,,6
2008-01-08 10:00,0.9,1.27,1.6,,6
2008-01-08 11:00,1.3,1.62,2.2,,6
2008-01-08 12:00,1.3,1.68,2.1,,6
2008-01-08 13:00,1,1.48,2.2,,6
2008-01-08 14:00,1.8,2.73,3.3,,6
2008-01-08 15:00,0.7,1.68,2.4,,6
2008-01-08 16:00,0.4,0.63,1,,6
2008-01-08 17:00,0.4,0.87,1.3,,6
2008-01-08 18:00,0.4,0.48,0.7,,6
2008-01-08 19:00,0.4,0.73,1,,6
2008-01-08 20:00,0.7,0.83,0.9,,6
2008-01-08 21:00,0.7,0.9,1.1,,6
2008-01-08 22:00,0.9,1.1,1.3,,6
2008-01-08 23:00,0.6,0.7,0.8,,6
2008-01-09 00:00,0.8,1.13,1.5,,6
2008-01-09 01:00,0.5,0.87,1.1,,6
2008-01-09 02:00,1,1.3,1.6,,6
2008-01-09 03:00,0.6,0.83,1.4,,6
2008-01-09 04:00,0.6,1.13,1.6,,6
2008-01-09 05:00,0.8,1.18,1.4,,6
2008-01-09 06:00,0.6,0.87,1.1,,6
2008-01-09 07:00,1.3,1.5,1.9,,6
2008-01-09 08:00,1.2,1.55,2.3,,6
2008-01-09 09:00,1.6,1.85,2.8,,6
2008-01-09 10:00,1.4,1.77,2.2,,6
2008-01-09 11:00,1.3,1.82,2.3,,6
2008-01-09 12:00,1.1,1.47,1.9,,6
2008-01-09 13:00,0.9,1.27,1.7,,6
2008-01-09 14:00,1.2,1.47,1.9,,6
2008-01-09 15:00,0.8,1.4,2.2,,6
2008-01-09 16:00,0.7,1.25,1.7,,6
2008-01-09 17:00,0.7,0.88,1.1,,6
2008-01-09 18:00,0.4,0.58,1.1,,6
2008-01-09 19:00,0.5,0.85,1.1,,6
2008-01-09 20:00,0.6,1,1.3,,6
2008-01-09 21:00,0.4,0.7,0.8,,6
2008-01-09 22:00,0.7,0.73,0.8,,6
2008-01-09 23:00,0.4,0.47,0.6,,6
2008-01-10 00:00,0.4,0.53,0.8,,6
2008-01-10 01:00,0.5,0.7,1.1,,6
2008-01-10 02:00,0.6,0.88,1.3,,6
2008-01-10 03:00,0.7,1.03,1.4,,6
2008-01-10 04:00,0.7,0.97,1.5,,6
2008-01-10 05:00,0.4,0.7,1.1,,6
2008-01-10 06:00,0.5,0.68,1.2,,6
2008-01-10 07:00,0.4,0.58,0.8,,6
2008-01-10 08:00,0.8,1.05,1.4,,6
2008-01-10 09:00,0.8,1.28,1.9,,6
2008-01-10 10:00,2.3,2.53,2.8,,6
2008-01-10 11:00,1.9,2.42,3.1,,6
2008-01-10 12:00,2,2.33,2.7,,6
2008-01-10 13:00,1.7,2.35,2.8,,6
2008-01-10 14:00,1.8,2.37,2.8,,6
2008-01-10 15:00,1.8,2.27,3.3,,6
2008-01-10 16:00,1.6,2.37,2.9,,6
2008-01-10 17:00,0.8,1.23,2.1,,6
2008-01-10 18:00,1.3,1.75,2.3,,6
